machine_id,date,datetime,time,year,month,day,hour,day_of_week,is_weekend,shift,severity,num_signals,has_comment,type_surchauffe,type_baisse_pression,type_vibration,type_bruit_mecanique,type_surconsommation,type_blocage_mecanique,type_alarme_capteur,type_arret_urgence,type_defaut_qualite,comment
MACH-01,2025-06-04,2025-06-04 22:24:00,22:24,2025,6,4,22,2,False,nuit,3,1,1,1,0,0,0,0,0,0,0,0,surchauffe capteur thermique
MACH-01,2025-06-11,2025-06-11 14:54:00,14:54,2025,6,11,14,2,False,apres-midi,3,1,1,0,0,0,1,0,0,0,0,0,bruit mécanique anormal
MACH-01,2025-06-11,2025-06-11 18:38:00,18:38,2025,6,11,18,2,False,apres-midi,2,1,1,0,0,1,0,0,0,0,0,0,vibrations excessives détectées
MACH-01,2025-06-11,2025-06-11 18:43:00,18:43,2025,6,11,18,2,False,apres-midi,2,1,1,0,0,1,0,0,0,0,0,0,vibration anormale roulement
MACH-01,2025-06-12,2025-06-12 11:15:00,11:15,2025,6,12,11,3,False,matin,2,1,1,0,0,1,0,0,0,0,0,0,oscillations hors tolérance
MACH-01,2025-06-12,2025-06-12 18:38:00,18:38,2025,6,12,18,3,False,apres-midi,3,1,1,0,0,1,0,0,0,0,0,0,vibration anormale roulement
MACH-01,2025-06-12,2025-06-12 18:45:00,18:45,2025,6,12,18,3,False,apres-midi,3,1,1,0,0,1,0,0,0,0,0,0,oscillations hors tolérance
MACH-01,2025-06-13,2025-06-13 11:02:00,11:02,2025,6,13,11,4,False,matin,3,1,1,0,0,1,0,0,0,0,0,0,vibration anormale roulement
MACH-01,2025-06-13,2025-06-13 11:15:00,11:15,2025,6,13,11,4,False,matin,3,1,1,0,0,1,0,0,0,0,0,0,vibration anormale roulement
MACH-01,2025-06-13,2025-06-13 18:38:00,18:38,2025,6,13,18,4,False,apres-midi,4,1,1,0,0,1,0,0,0,0,0,0,vibration excessive
MACH-01,2025-06-14,2025-06-14 11:15:00,11:15,2025,6,14,11,5,True,matin,4,1,1,0,0,1,0,0,0,0,0,0,vibration excessive
MACH-01,2025-06-15,2025-06-15 00:07:00,00:07,2025,6,15,0,6,True,nuit,2,1,1,1,0,0,0,0,0,0,0,0,alerte température haute
MACH-01,2025-06-16,2025-06-16 00:07:00,00:07,2025,6,16,0,0,False,nuit,3,1,1,1,0,0,0,0,0,0,0,0,montée thermique progressive
MACH-01,2025-06-16,2025-06-16 00:50:00,00:50,2025,6,16,0,0,False,nuit,3,1,1,1,0,0,0,0,0,0,0,0,surchauffe capteur thermique
MACH-01,2025-06-17,2025-06-17 00:07:00,00:07,2025,6,17,0,1,False,nuit,4,2,1,1,0,0,0,0,0,0,1,0,chauffe anormale + arrêt ligne
MACH-01,2025-07-21,2025-07-21 11:06:00,11:06,2025,7,21,11,0,False,matin,3,1,1,0,0,1,0,0,0,0,0,0,vibration excessive
MACH-01,2025-07-22,2025-07-22 12:52:00,12:52,2025,7,22,12,1,False,matin,2,1,1,0,0,0,0,0,0,1,0,0,perte intermittente signal mesure
MACH-01,2025-07-23,2025-07-23 12:06:00,12:06,2025,7,23,12,2,False,matin,3,1,1,0,0,0,0,0,0,1,0,0,défaut capteur confirmé
MACH-01,2025-07-23,2025-07-23 12:52:00,12:52,2025,7,23,12,2,False,matin,3,1,1,0,0,0,0,0,0,1,0,0,perte intermittente signal mesure
MACH-01,2025-07-24,2025-07-24 12:52:00,12:52,2025,7,24,12,3,False,matin,4,1,1,0,0,0,0,0,0,1,0,0,alarme capteur active
MACH-01,2025-07-31,2025-07-31 04:30:00,04:30,2025,7,31,4,3,False,nuit,3,1,1,0,0,0,0,1,0,0,0,0,surconsommation électrique
MACH-01,2025-08-02,2025-08-02 02:27:00,02:27,2025,8,2,2,5,True,nuit,3,1,1,0,0,0,0,1,0,0,0,0,surconsommation électrique
MACH-01,2025-08-06,2025-08-06 01:29:00,01:29,2025,8,6,1,2,False,nuit,2,1,1,0,0,0,1,0,0,0,0,0,frottement mécanique cyclique
MACH-01,2025-08-07,2025-08-07 01:29:00,01:29,2025,8,7,1,3,False,nuit,3,1,1,0,0,0,1,0,0,0,0,0,cliquetis roulement axe
MACH-01,2025-08-07,2025-08-07 01:35:00,01:35,2025,8,7,1,3,False,nuit,3,1,1,0,0,0,1,0,0,0,0,0,choc sur transmission
MACH-01,2025-08-08,2025-08-08 01:29:00,01:29,2025,8,8,1,4,False,nuit,4,1,1,0,0,0,1,0,0,0,0,0,frottement mécanique cyclique
