client_id,date_souscription,jour_souscription,secteur,pays,taille_entreprise,plan,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_total,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,couleur_theme_interface,code_datacenter,groupe_experimentation,commentaire_csm,sante_compte_fin_periode,valeur_vie_client_eur,churn
CLI-002447,31/01/2024,mercredi,Finance,France,TPE,STARTER,12,3,0,0.0,0,"0,0",8,0,0,34,0,14.2,4,1,"40,0",sombre,us-e1,control,,38,689,0
CLI-004125,2024-02-06,mardi,SANTÉ,Belgique,TPE,STARTER,12,3,1,"33,3",2,0.4,8,2,1,0,5,27.9,3,0,31.14,violet,us-e1,control,,45,485,0
CLI-000087,23 Dec 2024,lundi,éducation,France,tpe, Pro ,1,10,2,20.0%,1,"0,1",16,0,0,25,2,17.7,1,2,171.02,clair,ap-s1,B,Mécontentement exprimé au support.,1,701,1
CLI-004628,05 Aug 2024,lundi, Santé ,,PME,pro,6,33,5,15.2,1,0.3,16,6,2,6,1,11.2,5,2,771.93,violet,us-e1,control,Faible adoption des sièges.,47,8862,0
CLI-001671,07 Jan 2025,mardi,Commerce,France,TPE,STARTER,1,4,3,75.0,73,11.9,8,6,0,1,7,"31,8",2,4,"50,01",vert,us-e1,control,,0,300,1
CLI-002103,2024-07-05,vendredi,PUBLIC,Allemagne,TPE,Pro,7,11,7,"63,6",25,10.0,16,4,3,2,2,14.5,4,0,280.62 €,violet,eu-w3,A,Client très satisfait et actif.,42,7133,0
CLI-001474,2024-04-09,mardi,,France,PME,business,10,39,26,66.7,60,15.8,26,13,3,1,3,6.4,3,0,"2000,67",vert,ap-s1,A,,58,101714,0
CLI-001003,11/01/2023,mercredi, Public ,Suisse,eti,BUSINESS,25,133,80,60.2,19,4.0,26,12,6,1,1,5.0,4,0,6262.75,clair,us-e1,B,,76,112980,0
CLI-002638,2025-01-04,samedi,Industrie,France, GE , Enterprise ,1,264,223,84.5,76,56.1,40,27,0,3,9,"5,8",4,2,21725.8 €,clair,us-e1,control,,36,249412,0
CLI-001617,2022-12-07,mercredi,Tech,France,TPE,starter,26,7,4,57.1%,19,6.6,8,2,6,1,5,20.7,3,0,,bleu,eu-w1,control,,64,2749,0
CLI-004372,28 Dec 2024,samedi,Finance,Canada,PME,Enterprise,1,53,29,54.7%,37,18.8,40,16,0,0,2,3.1 h,3,0,"4112,87",sombre,ap-s1,control,Suivi standard.,63,13490,0
CLI-002449,2024-11-11,lundi,Commerce,France,PME,pro,3,42,2,4.8%,1,0.1,16,5,0,30,8,16.8,,0,961.74 €,sombre,ap-s1,B,Mécontentement exprimé au support.,0,11829,1
CLI-002761,04 Jan 2025,samedi,Tech,Belgique,pme,starter,1,25,24,96.0,126,79.9,8,5,0,0,0,20.6,4,2,319.5,bleu,ap-s1,B,,24,2358,1
CLI-002414,10 Apr 2024,mercredi,SANTÉ,France,GE,Enterprise,10,593,334,56.3,3,1.2,40,12,2,4,3,1.8,4,1,"47220,94",violet,ap-s1,A,,59,1510126,0
CLI-000475,09/06/2024,dimanche,Éducation,France,eti,enterprise,8,49,31,63.3%,37,"18,3",40,14,5,1,1,1.7 h,5,0,3862.48,violet,eu-w1,A,Client très satisfait et actif.,69,117188,0
CLI-003680,2025-01-03,vendredi,Commerce,Allemagne,PME, Enterprise ,1,34,5,14.7,1,0.5,40,3,0,23,0,5.0,4,2,"2851,25",bleu,ap-s1,A,,27,116901,0
CLI-000818,27 Dec 2024,vendredi,Finance,Belgique,GE, Enterprise ,1,817,229,28.0,11,2.4,40,16,0,4,1,6.5,3,2,66515.81,bleu,eu-w3,B,,38,436344,0
CLI-004297,2023-07-15,samedi,Tech,France, PME ,Starter,19,48,27,56.2,18,6.0,8,4,2,1,4,,4,0,595.07 €,clair,ap-s1,A,RAS.,15,32693,1
